epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.1315,1.89612,4.69184,1.9253,0.91973,0.16579,0.24423,0.13954,1.64518,4.22675,1.81212,6.96e-05,6.96e-05,6.96e-05
2,24.0318,1.56082,3.02412,1.6014,0.59935,0.47235,0.38699,0.24381,1.4703,4.36801,1.58498,0.000141181,0.000141181,0.000141181
3,32.526,1.4536,2.20472,1.4527,0.49874,0.43917,0.43184,0.24961,1.49173,2.9495,1.70895,0.000210323,0.000210323,0.000210323
4,39.6041,1.43868,1.93602,1.40348,0.5724,0.60853,0.59609,0.37591,1.4696,2.5594,1.63398,0.000277023,0.000277023,0.000277023
5,47.767,1.36135,1.76973,1.40725,0.56332,0.52143,0.49656,0.29852,1.55442,2.43108,1.65641,0.000341284,0.000341284,0.000341284
6,55.204,1.39072,1.58584,1.41465,0.60112,0.50294,0.55119,0.28609,1.59807,2.30841,1.73976,0.000399112,0.000399112,0.000399112
7,62.9355,1.38018,1.43472,1.37512,0.58851,0.57078,0.63982,0.31508,1.86932,2.70292,1.87508,0.000391935,0.000391935,0.000391935
8,71.2466,1.35082,1.46341,1.38273,0.78377,0.43118,0.6076,0.32471,1.77186,2.52052,1.90354,0.000384757,0.000384757,0.000384757
9,78.2785,1.30518,1.3163,1.37249,0.53665,0.65972,0.64992,0.34645,1.55692,2.19552,1.66766,0.00037758,0.00037758,0.00037758
10,86.3128,1.3344,1.25157,1.35739,0.59578,0.56764,0.61511,0.32983,1.53077,1.83466,1.60802,0.000370403,0.000370403,0.000370403
11,93.2547,1.29721,1.21142,1.34322,0.66911,0.56007,0.59376,0.30537,1.64574,1.6962,1.74198,0.000363225,0.000363225,0.000363225
12,100.892,1.2673,1.13495,1.33016,0.51858,0.67645,0.71407,0.36881,1.44615,1.54499,1.58783,0.000356048,0.000356048,0.000356048
13,109.135,1.26706,1.09591,1.29309,0.59777,0.647,0.62801,0.35485,1.51205,1.45179,1.60825,0.00034887,0.00034887,0.00034887
14,116.082,1.24355,1.1416,1.31001,0.54591,0.67552,0.68039,0.39764,1.45261,1.49772,1.55895,0.000341693,0.000341693,0.000341693
15,124.162,1.22947,1.0408,1.28433,0.75283,0.56737,0.64075,0.3633,1.5064,1.70176,1.61432,0.000334515,0.000334515,0.000334515
16,131.119,1.19452,1.02781,1.27571,0.68495,0.63232,0.64784,0.38942,1.45702,1.95993,1.65027,0.000327337,0.000327337,0.000327337
17,139.25,1.20217,1.00507,1.27434,0.64178,0.57563,0.60374,0.35856,1.52938,1.73906,1.71491,0.00032016,0.00032016,0.00032016
